State,ANNUAL,APR,AUG,DEC,FEB,JAN,JUL,JUN,MAR,MAY,NOV,OCT,SEP,Year
Uttarakhand,1298.5,31.6,364.0,3.3,10.2,15.4,408.5,220.7,5.5,44.8,8.1,28.6,157.8,2008
West Bengal,2099.7,93.55000000000001,451.05,2.8,10.350000000000001,40.05,489.20000000000005,488.95,40.0,127.85000000000001,6.1,82.3,267.5,2008
Andaman and Nicobar Islands,2614.5,138.4,385.4,81.8,6.2,15.2,302.5,620.0,37.8,317.0,70.7,275.6,363.9,2009
Andhra Pradesh,708.9,3.45,131.5,20.450000000000003,0.0,0.45,59.5,58.4,4.5,54.7,136.39999999999998,79.1,160.45,2009
Arunachal Pradesh,2163.3,171.9,418.6,9.4,72.3,26.8,485.3,383.5,65.5,165.9,36.5,102.7,224.9,2009
Assam,1863.0,129.9,457.2,2.8,10.9,3.9,394.2,295.7,41.0,216.6,11.8,129.1,169.9,2009
Bihar,993.7,1.7,319.1,1.5,1.1,1.5,232.8,66.3,2.5,155.8,4.7,73.9,132.8,2009
Chandigarh,350.4,13.0,56.2,0.2,7.1,4.1,78.7,14.6,6.3,9.4,2.4,0.9,157.5,2009
Chhattisgarh,859.7,1.3,237.1,0.1,0.0,1.3,431.5,43.5,0.0,10.3,27.6,22.9,84.1,2009
Dadra and Nagar Haveli,649.4,0.0,137.5,0.0,0.0,0.0,402.1,16.8,0.0,0.0,8.2,27.8,57.0,2009
Daman and Diu,616.9,0.0,103.5,0.0,0.0,0.0,430.2,69.0,0.0,0.0,1.3,2.8,10.1,2009
Delhi,350.4,13.0,56.2,0.2,7.1,4.1,78.7,14.6,6.3,9.4,2.4,0.9,157.5,2009
Goa,2738.3,0.1,297.4,0.0,0.0,0.0,1325.9,329.9,0.1,3.8,118.2,299.7,363.2,2009
Gujarat,633.15,0.0,120.5,0.0,0.0,0.0,416.15,42.9,0.0,0.0,4.75,15.3,33.55,2009
Haryana,350.4,13.0,56.2,0.2,7.1,4.1,78.7,14.6,6.3,9.4,2.4,0.9,157.5,2009
Himachal Pradesh,805.7,51.8,126.7,13.6,45.2,48.8,156.6,37.2,30.3,50.2,46.0,12.3,187.0,2009
Jammu and Kashmir,872.6,104.5,95.5,16.3,115.6,121.5,135.0,59.1,60.6,58.0,50.2,7.5,48.8,2009
Jharkhand,1061.1,0.9,275.3,2.0,0.0,9.2,218.2,93.9,9.6,67.7,11.0,121.5,251.8,2009
Karnataka,1984.1666666666667,18.366666666666664,273.1666666666667,24.599999999999998,0.0,0.0,695.9666666666667,226.79999999999998,21.133333333333333,89.63333333333333,87.43333333333334,195.39999999999998,351.6666666666667,2009
Kerala,2815.9,67.8,270.3,45.7,1.3,3.2,927.5,433.6,64.2,190.4,274.2,210.1,327.6,2009
Lakshadweep,1572.5,18.2,185.0,132.6,1.4,4.7,266.4,401.6,0.1,162.0,166.4,89.2,144.9,2009
Madhya Pradesh,865.1800000000001,2.0,175.98,11.2,0.18,9.959999999999999,330.21999999999997,42.16,1.28,5.34,68.1,61.239999999999995,157.51999999999998,2009
Maharashtra,803.2666666666668,1.0999999999999999,163.1,5.766666666666667,0.0,0.03333333333333333,256.6666666666667,68.0,4.533333333333333,13.833333333333334,86.66666666666667,66.2,137.36666666666667,2009
Manipur,1446.5,79.4,318.2,0.0,5.1,0.1,293.7,186.2,25.5,201.6,13.4,130.8,192.5,2009
Meghalaya,1863.0,129.9,457.2,2.8,10.9,3.9,394.2,295.7,41.0,216.6,11.8,129.1,169.9,2009
Mizoram,1446.5,79.4,318.2,0.0,5.1,0.1,293.7,186.2,25.5,201.6,13.4,130.8,192.5,2009
Nagaland,1446.5,79.4,318.2,0.0,5.1,0.1,293.7,186.2,25.5,201.6,13.4,130.8,192.5,2009
Odisha,1397.8,2.8,299.1,0.4,0.0,0.0,610.8,92.2,3.7,75.8,33.2,113.9,165.9,2009
Puducherry,934.4,35.4,96.1,105.7,0.0,7.5,58.5,33.7,30.4,64.4,314.1,62.2,126.4,2009
